source,meta_program,gene_marker
Malignant,Cilia,KIF9
Malignant,Cilia,TUBA1A
Malignant,Cilia,FABP6
Malignant,Cilia,MRPS31
Malignant,Cilia,ZMYND10
Malignant,Cilia,C12ORF75
Malignant,Cilia,CAPSL
Malignant,Cilia,CES1
Malignant,Cilia,DNAAF1
Malignant,Cilia,IFT57
Malignant,Cilia,IGFBP2
Malignant,Cilia,MLF1
Malignant,Cilia,OSCP1
Malignant,Cilia,PLAC8
Malignant,Cilia,DNAH5
Malignant,Cilia,CRIP1
Malignant,Cilia,RP11-295M3.4
Malignant,Cilia,GSTA1
Malignant,Cilia,SLC44A4
Malignant,Cilia,NUCB2
Malignant,EMT-I,COL1A2
Malignant,EMT-I,SPARC
Malignant,EMT-I,COL1A1
Malignant,EMT-I,COL3A1
Malignant,EMT-I,IGFBP7
Malignant,EMT-I,TAGLN
Malignant,EMT-I,C1S
Malignant,EMT-I,FN1
Malignant,EMT-I,MGP
Malignant,EMT-I,TIMP1
Malignant,EMT-I,TIMP3
Malignant,EMT-I,BGN
Malignant,EMT-I,C1R
Malignant,EMT-I,VIM
Malignant,EMT-I,COL6A2
Malignant,EMT-I,COL4A2
Malignant,EMT-I,COL6A1
Malignant,EMT-I,MMP2
Malignant,EMT-I,DCN
Malignant,EMT-I,COL4A1
Malignant,EMT-I,FSTL1
Malignant,EMT-I,NNMT
Malignant,EMT-I,TPM1
Malignant,EMT-I,TSC22D3
Malignant,EMT-I,CCDC80
Malignant,EMT-I,CTGF
Malignant,EMT-I,CXCL12
Malignant,EMT-I,ID3
Malignant,EMT-I,LUM
Malignant,EMT-I,MYL9
Malignant,EMT-I,PRSS23
Malignant,EMT-I,TGFBI
Malignant,EMT-I,TPM2
Malignant,EMT-I,CAV1
Malignant,EMT-I,CYR61
Malignant,EMT-I,IGFBP5
Malignant,EMT-I,LGALS1
Malignant,EMT-I,SPARCL1
Malignant,EMT-I,A2M
Malignant,EMT-I,ACTA2
Malignant,EMT-I,CALD1
Malignant,EMT-I,COL6A3
Malignant,EMT-I,CTSK
Malignant,EMT-I,FBLN1
Malignant,EMT-I,IGFBP4
Malignant,EMT-I,POSTN
Malignant,EMT-I,RARRES2
Malignant,EMT-I,SERPING1
Malignant,EMT-I,SNAI2
Malignant,EMT-I,TCF4
Malignant,EMT-II,LAMC2
Malignant,EMT-II,LAMB3
Malignant,EMT-II,LAMA3
Malignant,EMT-II,EMP3
Malignant,EMT-II,TGFBI
Malignant,EMT-II,TNFRSF12A
Malignant,EMT-II,FLNA
Malignant,EMT-II,PLAU
Malignant,EMT-II,PMEPA1
Malignant,EMT-II,CAV1
Malignant,EMT-II,KRT17
Malignant,EMT-II,PRSS23
Malignant,EMT-II,LGALS1
Malignant,EMT-II,VIM
Malignant,EMT-II,S100A2
Malignant,EMT-II,COL17A1
Malignant,EMT-II,FSTL3
Malignant,EMT-II,CST6
Malignant,EMT-II,IL32
Malignant,EMT-II,PDLIM7
Malignant,EMT-II,SERPINE1
Malignant,EMT-II,ANXA3
Malignant,EMT-II,IGFBP7
Malignant,EMT-II,DCBLD2
Malignant,EMT-II,F3
Malignant,EMT-II,MT2A
Malignant,EMT-II,TNC
Malignant,EMT-II,ITGB6
Malignant,EMT-II,KRT7
Malignant,EMT-II,PLAUR
Malignant,EMT-II,PRKCDBP
Malignant,EMT-II,SERPINE2
Malignant,EMT-II,ITGB1
Malignant,EMT-II,RBP1
Malignant,EMT-II,ITGA3
Malignant,EMT-II,CDKN1A
Malignant,EMT-II,THBS1
Malignant,EMT-II,FN1
Malignant,EMT-II,MMP7
Malignant,EMT-II,TGM2
Malignant,EMT-II,C15ORF48
Malignant,EMT-II,ITGA6
Malignant,EMT-II,PTHLH
Malignant,EMT-II,TPM1
Malignant,EMT-II,CDA
Malignant,EMT-II,IGFBP6
Malignant,EMT-II,PDPN
Malignant,EMT-II,RHOD
Malignant,EMT-II,INHBA
Malignant,EMT-II,ITGAV
Malignant,EMT-III,ANXA2
Malignant,EMT-III,KRT19
Malignant,EMT-III,S100A6
Malignant,EMT-III,TNFRSF12A
Malignant,EMT-III,KRT7
Malignant,EMT-III,LGALS1
Malignant,EMT-III,ANXA1
Malignant,EMT-III,TM4SF1
Malignant,EMT-III,S100A10
Malignant,EMT-III,LGALS3
Malignant,EMT-III,S100A16
Malignant,EMT-III,TAGLN2
Malignant,EMT-III,LMNA
Malignant,EMT-III,CRIP1
Malignant,EMT-III,EZR
Malignant,EMT-III,KRT18
Malignant,EMT-III,S100A11
Malignant,EMT-III,S100A4
Malignant,EMT-III,EMP3
Malignant,EMT-III,HSPB1
Malignant,EMT-III,KRT8
Malignant,EMT-III,TUBA1A
Malignant,EMT-III,VIM
Malignant,EMT-III,IL32
Malignant,EMT-III,KLF6
Malignant,EMT-III,ANXA3
Malignant,EMT-III,SH3BGRL3
Malignant,EMT-III,TMSB4X
Malignant,EMT-III,C19ORF33
Malignant,EMT-III,CKB
Malignant,EMT-III,CLIC1
Malignant,EMT-III,EMP1
Malignant,EMT-III,IFI27
Malignant,EMT-III,ISG15
Malignant,EMT-III,MDK
Malignant,EMT-III,MMP7
Malignant,EMT-III,PHLDA2
Malignant,EMT-III,PLP2
Malignant,EMT-III,CLDN4
Malignant,EMT-III,MYADM
Malignant,EMT-III,RHOC
Malignant,EMT-III,S100A14
Malignant,EMT-III,CD24
Malignant,EMT-III,CRIP2
Malignant,EMT-III,MYL12A
Malignant,EMT-III,RAB11FIP1
Malignant,EMT-III,S100P
Malignant,EMT-III,STMN1
Malignant,EMT-III,FXYD3
Malignant,EMT-III,FLNA
Malignant,EMT-IV,KRT15
Malignant,EMT-IV,CXCL14
Malignant,EMT-IV,ALDH3A1
Malignant,EMT-IV,DAPL1
Malignant,EMT-IV,DST
Malignant,EMT-IV,CCL2
Malignant,EMT-IV,TXNIP
Malignant,EMT-IV,C12ORF75
Malignant,EMT-IV,COL17A1
Malignant,EMT-IV,DCN
Malignant,EMT-IV,HOPX
Malignant,EMT-IV,MOXD1
Malignant,EMT-IV,SDCBP
Malignant,EMT-IV,SEPP1
Malignant,EMT-IV,THBS2
Malignant,EMT-IV,TIMP1
Malignant,EMT-IV,ASS1
Malignant,EMT-IV,GLUL
Malignant,EMT-IV,NFIB
Malignant,EMT-IV,NTRK2
Malignant,EMT-IV,SERPINH1
Malignant,EMT-IV,SOX4
Malignant,EMT-IV,ANTXR1
Malignant,EMT-IV,C1R
Malignant,EMT-IV,C1S
Malignant,EMT-IV,C6ORF48
Malignant,EMT-IV,CAV1
Malignant,EMT-IV,FTH1
Malignant,EMT-IV,IGFBP5
Malignant,EMT-IV,NCOA7
Malignant,EMT-IV,NINJ1
Malignant,EMT-IV,PNRC1
Malignant,EMT-IV,SERPINE2
Malignant,EMT-IV,SERPINF1
Malignant,EMT-IV,SLC47A2
Malignant,EMT-IV,SNAI2
Malignant,EMT-IV,SOCS3
Malignant,EMT-IV,SPARC
Malignant,EMT-IV,TSC22D1
Malignant,EMT-IV,ASPN
Malignant,EMT-IV,LTF
Malignant,EMT-IV,SFRP1
Malignant,EMT-IV,TP53AIP1
Malignant,EMT-IV,CD74
Malignant,EMT-IV,EGR1
Malignant,EMT-IV,BCAM
Malignant,EMT-IV,SESN3
Malignant,EMT-IV,IFITM1
Malignant,EMT-IV,HTRA1
Malignant,EMT-IV,IFIT3
Malignant,Epithelial Senescence,SLPI
Malignant,Epithelial Senescence,S100A9
Malignant,Epithelial Senescence,LCN2
Malignant,Epithelial Senescence,S100A8
Malignant,Epithelial Senescence,KRT16
Malignant,Epithelial Senescence,C15ORF48
Malignant,Epithelial Senescence,SPRR1B
Malignant,Epithelial Senescence,LY6D
Malignant,Epithelial Senescence,S100P
Malignant,Epithelial Senescence,KRT6B
Malignant,Epithelial Senescence,PI3
Malignant,Epithelial Senescence,WFDC2
Malignant,Epithelial Senescence,CEACAM6
Malignant,Epithelial Senescence,PDZK1IP1
Malignant,Epithelial Senescence,S100A7
Malignant,Epithelial Senescence,TSPAN1
Malignant,Epithelial Senescence,KRT13
Malignant,Epithelial Senescence,TACSTD2
Malignant,Epithelial Senescence,PSCA
Malignant,Epithelial Senescence,IL1RN
Malignant,Epithelial Senescence,LYPD3
Malignant,Epithelial Senescence,SAA1
Malignant,Epithelial Senescence,SERPINB3
Malignant,Epithelial Senescence,AQP3
Malignant,Epithelial Senescence,CLDN4
Malignant,Epithelial Senescence,CXCL17
Malignant,Epithelial Senescence,KRT17
Malignant,Epithelial Senescence,CRABP2
Malignant,Epithelial Senescence,ELF3
Malignant,Epithelial Senescence,KRT6A
Malignant,Epithelial Senescence,MAL2
Malignant,Epithelial Senescence,SPRR3
Malignant,Epithelial Senescence,IGFBP3
Malignant,Epithelial Senescence,PRSS22
Malignant,Epithelial Senescence,SPRR2D
Malignant,Epithelial Senescence,DSC2
Malignant,Epithelial Senescence,GPRC5A
Malignant,Epithelial Senescence,KRT7
Malignant,Epithelial Senescence,SPRR2A
Malignant,Epithelial Senescence,ANXA1
Malignant,Epithelial Senescence,MALL
Malignant,Epithelial Senescence,CEACAM5
Malignant,Epithelial Senescence,MUC4
Malignant,Epithelial Senescence,SERPINB1
Malignant,Epithelial Senescence,AGR2
Malignant,Epithelial Senescence,CLIC3
Malignant,Epithelial Senescence,SERPINB4
Malignant,Epithelial Senescence,FABP5
Malignant,Epithelial Senescence,SULT2B1
Malignant,Epithelial Senescence,CLDN7
Malignant,Glutathione,NAT8
Malignant,Glutathione,ACSM2B
Malignant,Glutathione,LGALS2
Malignant,Glutathione,AMN
Malignant,Glutathione,BBOX1
Malignant,Glutathione,KHK
Malignant,Glutathione,MIOX
Malignant,Glutathione,SMIM24
Malignant,Glutathione,AQP1
Malignant,Glutathione,C11ORF54
Malignant,Glutathione,CUBN
Malignant,Glutathione,GSTA1
Malignant,Glutathione,GLYAT
Malignant,Glutathione,ACSM2A
Malignant,Glutathione,AOC1
Malignant,Glutathione,APOM
Malignant,Glutathione,GAL3ST1
Malignant,Glutathione,GSTA2
Malignant,Glutathione,SLC6A13
Malignant,Glutathione,AZGP1
Malignant,Glutathione,GLYATL1
Malignant,Glutathione,LRP2
Malignant,Glutathione,PCSK1N
Malignant,Glutathione,PEPD
Malignant,Glutathione,SLC17A3
Malignant,Glutathione,SLC5A12
Malignant,Glutathione,CDHR5
Malignant,Glutathione,MSRA
Malignant,Glutathione,PDZK1
Malignant,Glutathione,PXMP2
Malignant,Glutathione,SLC16A9
Malignant,Glutathione,SLC22A18
Malignant,Glutathione,AGT
Malignant,Glutathione,CES2
Malignant,Glutathione,CLDN10
Malignant,Glutathione,DDC
Malignant,Glutathione,TMEM27
Malignant,Glutathione,TNFAIP6
Malignant,Glutathione,AGXT2
Malignant,Glutathione,CFI
Malignant,Glutathione,FOLR1
Malignant,Glutathione,GAMT
Malignant,Glutathione,HRSP12
Malignant,Glutathione,RBP5
Malignant,Glutathione,TSPAN1
Malignant,Glutathione,GPX3
Malignant,Glutathione,CXCL14
Malignant,Glutathione,PRAP1
Malignant,Glutathione,LACTB2
Malignant,Glutathione,GCHFR
Malignant,Hemato-related-I,CSF3R
Malignant,Hemato-related-I,SPINK2
Malignant,Hemato-related-I,VAMP5
Malignant,Hemato-related-I,AZU1
Malignant,Hemato-related-I,SELL
Malignant,Hemato-related-I,C1QTNF4
Malignant,Hemato-related-I,CFD
Malignant,Hemato-related-I,CTSG
Malignant,Hemato-related-I,ELANE
Malignant,Hemato-related-I,HOPX
Malignant,Hemato-related-I,ITM2C
Malignant,Hemato-related-I,NPDC1
Malignant,Hemato-related-I,AVP
Malignant,Hemato-related-I,C1ORF228
Malignant,Hemato-related-I,CD52
Malignant,Hemato-related-I,CLEC11A
Malignant,Hemato-related-I,CRHBP
Malignant,Hemato-related-I,CST7
Malignant,Hemato-related-I,MBOAT7
Malignant,Hemato-related-I,MDK
Malignant,Hemato-related-I,PLAC8
Malignant,Hemato-related-I,PRTN3
Malignant,Hemato-related-I,RNASE2
Malignant,Hemato-related-I,BAALC
Malignant,Hemato-related-I,BST2
Malignant,Hemato-related-I,C19ORF77
Malignant,Hemato-related-I,CD44
Malignant,Hemato-related-I,GLIPR1
Malignant,Hemato-related-I,ICAM3
Malignant,Hemato-related-I,KLF6
Malignant,Hemato-related-I,MPO
Malignant,Hemato-related-I,MS4A3
Malignant,Hemato-related-I,PRSS57
Malignant,Hemato-related-I,RAB32
Malignant,Hemato-related-I,SRGN
Malignant,Hemato-related-I,TSC22D3
Malignant,Hemato-related-I,ZFP36L2
Malignant,Hemato-related-I,FOS
Malignant,Hemato-related-I,SERPINB1
Malignant,Hemato-related-I,IGLL1
Malignant,Hemato-related-I,LYZ
Malignant,Hemato-related-I,MGST1
Malignant,Hemato-related-I,TNFSF13B
Malignant,Hemato-related-I,HLA-DQB1
Malignant,Hemato-related-I,CD74
Malignant,Hemato-related-I,PTPRCAP
Malignant,Hemato-related-I,ANKRD28
Malignant,Hemato-related-I,CD34
Malignant,Hemato-related-I,CPA3
Malignant,Hemato-related-I,KIAA0125
Malignant,Hemato-related-II,CTNNBL1
Malignant,Hemato-related-II,FCER1A
Malignant,Hemato-related-II,GATA2
Malignant,Hemato-related-II,CD84
Malignant,Hemato-related-II,PDZD8
Malignant,Hemato-related-II,SLC40A1
Malignant,Hemato-related-II,TESPA1
Malignant,Hemato-related-II,ZMYND8
Malignant,Hemato-related-II,CYTL1
Malignant,Hemato-related-II,MINPP1
Malignant,Hemato-related-II,PDCD4
Malignant,Hemato-related-II,PKIG
Malignant,Hemato-related-II,RP11-354E11.2
Malignant,Hemato-related-II,SOD2
Malignant,Hemato-related-II,STAM
Malignant,Hemato-related-II,ABCC4
Malignant,Hemato-related-II,ALDH1A1
Malignant,Hemato-related-II,ATP6V0A2
Malignant,Hemato-related-II,CD82
Malignant,Hemato-related-II,CNRIP1
Malignant,Hemato-related-II,CPA3
Malignant,Hemato-related-II,CPPED1
Malignant,Hemato-related-II,DEPTOR
Malignant,Hemato-related-II,GMPR
Malignant,Hemato-related-II,HBD
Malignant,Hemato-related-II,HPGDS
Malignant,Hemato-related-II,IL1B
Malignant,Hemato-related-II,KLF1
Malignant,Hemato-related-II,LXN
Malignant,Hemato-related-II,NFE2
Malignant,Hemato-related-II,PLEK
Malignant,Hemato-related-II,PLIN2
Malignant,Hemato-related-II,RAB37
Malignant,Hemato-related-II,RGS18
Malignant,Hemato-related-II,TPSB2
Malignant,Hemato-related-II,ZEB2
Malignant,Hemato-related-II,STXBP6
Malignant,Hemato-related-II,KCNQ1OT1
Malignant,Hemato-related-II,BMP2K
Malignant,Hemato-related-II,EREG
Malignant,Hemato-related-II,LINC00152
Malignant,Hemato-related-II,FREM1
Malignant,Hemato-related-II,PBX1
Malignant,Hemato-related-II,PDLIM1
Malignant,Hemato-related-II,MPP1
Malignant,Hemato-related-II,SOX4
Malignant,Hemato-related-II,FAM117A
Malignant,Hemato-related-II,FAM19A2
Malignant,Hemato-related-II,ICAM4
Malignant,Hemato-related-II,CASP3
Malignant,Hypoxia,NDRG1
Malignant,Hypoxia,BNIP3
Malignant,Hypoxia,SLC2A1
Malignant,Hypoxia,P4HA1
Malignant,Hypoxia,VEGFA
Malignant,Hypoxia,ENO2
Malignant,Hypoxia,ADM
Malignant,Hypoxia,HILPDA
Malignant,Hypoxia,PGK1
Malignant,Hypoxia,BNIP3L
Malignant,Hypoxia,FAM162A
Malignant,Hypoxia,PLOD2
Malignant,Hypoxia,EGLN3
Malignant,Hypoxia,LDHA
Malignant,Hypoxia,MT1X
Malignant,Hypoxia,NRN1
Malignant,Hypoxia,DDIT4
Malignant,Hypoxia,DDIT3
Malignant,Hypoxia,ERO1A
Malignant,Hypoxia,ANGPTL4
Malignant,Hypoxia,IGFBP3
Malignant,Hypoxia,PFKP
Malignant,Hypoxia,INSIG2
Malignant,Hypoxia,NDUFA4L2
Malignant,Hypoxia,PDK1
Malignant,Hypoxia,CA9
Malignant,Hypoxia,AKAP12
Malignant,Hypoxia,C4ORF3
Malignant,Hypoxia,IGFBP5
Malignant,Hypoxia,GBE1
Malignant,Hypoxia,LGALS3
Malignant,Hypoxia,TMEM45A
Malignant,Hypoxia,WSB1
Malignant,Hypoxia,GPI
Malignant,Hypoxia,S100A10
Malignant,Hypoxia,SLC16A3
Malignant,Hypoxia,EPB41L4A-AS1
Malignant,Hypoxia,ALDOA
Malignant,Hypoxia,ANKRD37
Malignant,Hypoxia,CAV1
Malignant,Hypoxia,AK4
Malignant,Hypoxia,DNAJB9
Malignant,Hypoxia,ERRFI1
Malignant,Hypoxia,MT2A
Malignant,Hypoxia,SLC3A2
Malignant,Hypoxia,VIM
Malignant,Hypoxia,ENO1
Malignant,Hypoxia,PFKFB3
Malignant,Hypoxia,HK2
Malignant,Hypoxia,CA12
Malignant,IG,IGLC2
Malignant,IG,IGLC3
Malignant,IG,IGHA2
Malignant,IG,IGHA1
Malignant,IG,IGHG4
Malignant,IG,IGKC
Malignant,IG,CD79A
Malignant,IG,IGHG1
Malignant,IG,IGHG3
Malignant,IG,IGHG2
Malignant,IG,IGHGP
Malignant,IG,IGLJ2
Malignant,IG,IGLC1
Malignant,IG,DERL3
Malignant,IG,IGHM
Malignant,IG,IGLC7
Malignant,IG,SELENOM
Malignant,IG,CD63
Malignant,IG,IGLV3-1
Malignant,IG,IGLV3-7
Malignant,IG,IGLV6-57
Malignant,IG,JSRP1
Malignant,IG,CCPG1
Malignant,IG,DNAJB9
Malignant,IG,IGKV1-12
Malignant,IG,IGLJ1
Malignant,IG,KLF6
Malignant,IG,TSC22D3
Malignant,IG,AC134669.2
Malignant,IG,ADA2
Malignant,IG,CD27
Malignant,IG,CITED2
Malignant,IG,FCRL5
Malignant,IG,HERPUD1
Malignant,IG,HLA-F
Malignant,IG,IGKV4-1
Malignant,IG,IGLC5
Malignant,IG,IGLC6
Malignant,IG,IGLJ3
Malignant,IG,IGLL5
Malignant,IG,IGLV3-21
Malignant,IG,ITGB7
Malignant,IG,JCHAIN
Malignant,IG,TXNIP
Malignant,IG,MIR4539
Malignant,IG,SEL1L3
Malignant,IG,PRDX4
Malignant,IG,IRF4
Malignant,IG,MAN1A2
Malignant,IG,TNFRSF17
Malignant,Interferon/MHC-II (I),ISG15
Malignant,Interferon/MHC-II (I),CD74
Malignant,Interferon/MHC-II (I),IFI6
Malignant,Interferon/MHC-II (I),HLA-DRA
Malignant,Interferon/MHC-II (I),HLA-DRB1
Malignant,Interferon/MHC-II (I),IFIT3
Malignant,Interferon/MHC-II (I),PSMB9
Malignant,Interferon/MHC-II (I),IFI44L
Malignant,Interferon/MHC-II (I),RARRES3
Malignant,Interferon/MHC-II (I),STAT1
Malignant,Interferon/MHC-II (I),HLA-DPA1
Malignant,Interferon/MHC-II (I),MX1
Malignant,Interferon/MHC-II (I),UBE2L6
Malignant,Interferon/MHC-II (I),IFITM3
Malignant,Interferon/MHC-II (I),BST2
Malignant,Interferon/MHC-II (I),OAS1
Malignant,Interferon/MHC-II (I),GBP1
Malignant,Interferon/MHC-II (I),IFI27
Malignant,Interferon/MHC-II (I),IFIT1
Malignant,Interferon/MHC-II (I),TAP1
Malignant,Interferon/MHC-II (I),HLA-B
Malignant,Interferon/MHC-II (I),IFITM1
Malignant,Interferon/MHC-II (I),HLA-DMA
Malignant,Interferon/MHC-II (I),ISG20
Malignant,Interferon/MHC-II (I),TNFSF10
Malignant,Interferon/MHC-II (I),IFI35
Malignant,Interferon/MHC-II (I),IFI44
Malignant,Interferon/MHC-II (I),HLA-DPB1
Malignant,Interferon/MHC-II (I),HLA-E
Malignant,Interferon/MHC-II (I),HLA-C
Malignant,Interferon/MHC-II (I),PARP14
Malignant,Interferon/MHC-II (I),WARS
Malignant,Interferon/MHC-II (I),HLA-DQB1
Malignant,Interferon/MHC-II (I),LAP3
Malignant,Interferon/MHC-II (I),PSMB8
Malignant,Interferon/MHC-II (I),C1S
Malignant,Interferon/MHC-II (I),HLA-DRB5
Malignant,Interferon/MHC-II (I),PLSCR1
Malignant,Interferon/MHC-II (I),TYMP
Malignant,Interferon/MHC-II (I),C1R
Malignant,Interferon/MHC-II (I),SAA1
Malignant,Interferon/MHC-II (I),HLA-F
Malignant,Interferon/MHC-II (I),IFIT2
Malignant,Interferon/MHC-II (I),SOD2
Malignant,Interferon/MHC-II (I),GBP2
Malignant,Interferon/MHC-II (I),HLA-A
Malignant,Interferon/MHC-II (I),CXCL10
Malignant,Interferon/MHC-II (I),HLA-DQA1
Malignant,Interferon/MHC-II (I),PARP9
Malignant,Interferon/MHC-II (I),B2M
Malignant,Interferon/MHC-II (II),CD74
Malignant,Interferon/MHC-II (II),HLA-DRA
Malignant,Interferon/MHC-II (II),HLA-DRB1
Malignant,Interferon/MHC-II (II),ALDH1A1
Malignant,Interferon/MHC-II (II),HLA-DPA1
Malignant,Interferon/MHC-II (II),IFITM2
Malignant,Interferon/MHC-II (II),CD9
Malignant,Interferon/MHC-II (II),CLU
Malignant,Interferon/MHC-II (II),CRYAB
Malignant,Interferon/MHC-II (II),NNMT
Malignant,Interferon/MHC-II (II),S100A10
Malignant,Interferon/MHC-II (II),TMEM176B
Malignant,Interferon/MHC-II (II),C1R
Malignant,Interferon/MHC-II (II),C1S
Malignant,Interferon/MHC-II (II),DHRS3
Malignant,Interferon/MHC-II (II),GPM6B
Malignant,Interferon/MHC-II (II),HLA-DRB5
Malignant,Interferon/MHC-II (II),IFI6
Malignant,Interferon/MHC-II (II),IFITM3
Malignant,Interferon/MHC-II (II),PLP1
Malignant,Interferon/MHC-II (II),RARRES2
Malignant,Interferon/MHC-II (II),S100B
Malignant,Interferon/MHC-II (II),SERPING1
Malignant,Interferon/MHC-II (II),TMEM176A
Malignant,Interferon/MHC-II (II),ANXA1
Malignant,Interferon/MHC-II (II),C3
Malignant,Interferon/MHC-II (II),CTNNAL1
Malignant,Interferon/MHC-II (II),GFRA3
Malignant,Interferon/MHC-II (II),MT2A
Malignant,Interferon/MHC-II (II),PDK4
Malignant,Interferon/MHC-II (II),PLAT
Malignant,Interferon/MHC-II (II),PMP22
Malignant,Interferon/MHC-II (II),SEPP1
Malignant,Interferon/MHC-II (II),C10ORF10
Malignant,Interferon/MHC-II (II),EGFL8
Malignant,Interferon/MHC-II (II),GPX3
Malignant,Interferon/MHC-II (II),HLA-DMA
Malignant,Interferon/MHC-II (II),MT1X
Malignant,Interferon/MHC-II (II),SEMA3B
Malignant,Interferon/MHC-II (II),UCHL1
Malignant,Interferon/MHC-II (II),MMP7
Malignant,Interferon/MHC-II (II),LGALS1
Malignant,Interferon/MHC-II (II),CTSD
Malignant,Interferon/MHC-II (II),ARPC1B
Malignant,Interferon/MHC-II (II),ISG15
Malignant,Interferon/MHC-II (II),WFDC2
Malignant,Interferon/MHC-II (II),LGALS3BP
Malignant,Interferon/MHC-II (II),CALM2
Malignant,Interferon/MHC-II (II),TUBA1A
Malignant,Interferon/MHC-II (II),A2M
Malignant,MES (glioma),EMP1
Malignant,MES (glioma),GAP43
Malignant,MES (glioma),TNFRSF12A
Malignant,MES (glioma),CD44
Malignant,MES (glioma),TNC
Malignant,MES (glioma),LYST
Malignant,MES (glioma),PLAT
Malignant,MES (glioma),WWTR1
Malignant,MES (glioma),ANXA2
Malignant,MES (glioma),GADD45A
Malignant,MES (glioma),LMNA
Malignant,MES (glioma),VMP1
Malignant,MES (glioma),IGFBP3
Malignant,MES (glioma),SCG2
Malignant,MES (glioma),HIVEP3
Malignant,MES (glioma),METTL7B
Malignant,MES (glioma),RCAN1
Malignant,MES (glioma),ZYX
Malignant,MES (glioma),CAMK2D
Malignant,MES (glioma),IL1RAP
Malignant,MES (glioma),JAG1
Malignant,MES (glioma),NAMPT
Malignant,MES (glioma),PGM2L1
Malignant,MES (glioma),VIM
Malignant,MES (glioma),ACTN1
Malignant,MES (glioma),AKAP12
Malignant,MES (glioma),IGF2BP2
Malignant,MES (glioma),MIR4435-2HG
Malignant,MES (glioma),NRP2
Malignant,MES (glioma),PDLIM4
Malignant,MES (glioma),ANXA1
Malignant,MES (glioma),BCAT1
Malignant,MES (glioma),CLIC4
Malignant,MES (glioma),CREB5
Malignant,MES (glioma),DIRAS3
Malignant,MES (glioma),EGR1
Malignant,MES (glioma),ELL2
Malignant,MES (glioma),F3
Malignant,MES (glioma),FRMD5
Malignant,MES (glioma),IGFBP7
Malignant,MES (glioma),LINC00152
Malignant,MES (glioma),S100A16
Malignant,MES (glioma),VCL
Malignant,MES (glioma),SAMD4A
Malignant,MES (glioma),ADAMTS9-AS2
Malignant,MES (glioma),SLC4A7
Malignant,MES (glioma),GFAP
Malignant,MES (glioma),CADPS
Malignant,MES (glioma),GNG12
Malignant,MES (glioma),KLHL4
Malignant,MYC,NME1
Malignant,MYC,C1QBP
Malignant,MYC,FABP5
Malignant,MYC,SRM
Malignant,MYC,EBNA1BP2
Malignant,MYC,HSPE1
Malignant,MYC,DCTPP1
Malignant,MYC,NOP16
Malignant,MYC,NHP2
Malignant,MYC,MRPL12
Malignant,MYC,DKC1
Malignant,MYC,HSPD1
Malignant,MYC,RANBP1
Malignant,MYC,CCT5
Malignant,MYC,DDX21
Malignant,MYC,ATP5G1
Malignant,MYC,PA2G4
Malignant,MYC,GPATCH4
Malignant,MYC,TOMM40
Malignant,MYC,GNL3
Malignant,MYC,PAICS
Malignant,MYC,RAN
Malignant,MYC,PPA1
Malignant,MYC,RUVBL1
Malignant,MYC,CCT2
Malignant,MYC,EIF4EBP1
Malignant,MYC,MYC
Malignant,MYC,LDHB
Malignant,MYC,TIMM13
Malignant,MYC,ODC1
Malignant,MYC,CYCS
Malignant,MYC,EIF5A
Malignant,MYC,NIFK
Malignant,MYC,NOLC1
Malignant,MYC,SNRPD1
Malignant,MYC,MRPL3
Malignant,MYC,MRTO4
Malignant,MYC,SLIRP
Malignant,MYC,LDHA
Malignant,MYC,NOP56
Malignant,MYC,PHB
Malignant,MYC,PNO1
Malignant,MYC,DCAF13
Malignant,MYC,ENO1
Malignant,MYC,NCL
Malignant,MYC,NOP58
Malignant,MYC,PRMT1
Malignant,MYC,BZW2
Malignant,MYC,CMSS1
Malignant,MYC,FKBP4
Malignant,Metal-response,MT1X
Malignant,Metal-response,CAV1
Malignant,Metal-response,MT1E
Malignant,Metal-response,C5ORF46
Malignant,Metal-response,TGFBI
Malignant,Metal-response,CEBPB
Malignant,Metal-response,CKB
Malignant,Metal-response,EPB41L4A-AS1
Malignant,Metal-response,IGFBP5
Malignant,Metal-response,LGALS1
Malignant,Metal-response,LOX
Malignant,Metal-response,MT1M
Malignant,Metal-response,MT2A
Malignant,Metal-response,MT3
Malignant,Metal-response,NOL3
Malignant,Metal-response,STC1
Malignant,Metal-response,TUBA1A
Malignant,Metal-response,C10ORF10
Malignant,Metal-response,C1S
Malignant,Metal-response,CP
Malignant,Metal-response,DDIT4
Malignant,Metal-response,EMP3
Malignant,Metal-response,GLUL
Malignant,Metal-response,MT1F
Malignant,Metal-response,NPTX2
Malignant,Metal-response,PLP2
Malignant,Metal-response,SMIM3
Malignant,Metal-response,SNHG7
Malignant,Metal-response,SOX4
Malignant,Metal-response,BGN
Malignant,Metal-response,EDN1
Malignant,Metal-response,ID1
Malignant,Metal-response,ID4
Malignant,Metal-response,IER2
Malignant,Metal-response,MT1A
Malignant,Metal-response,PMP22
Malignant,Metal-response,RSL24D1
Malignant,Metal-response,TSC22D3
Malignant,Metal-response,VCAM1
Malignant,Metal-response,VCAN
Malignant,Metal-response,FSTL3
Malignant,Metal-response,TMEM45A
Malignant,Metal-response,ZBTB16
Malignant,Metal-response,TMEM91
Malignant,Metal-response,FKBP5
Malignant,Metal-response,S100A6
Malignant,Metal-response,C1R
Malignant,Metal-response,MMP7
Malignant,Metal-response,KLF4
